Core,Subst,chembl_id
c1cc(-c2nnc(SCc3nnc(-c4ccc([*:1])cc4)o3)o2)ccn1,Br[*:1],CHEMBL4529762
c1cc(-c2nnc(SCc3nnc(-c4ccc([*:1])cc4)o3)o2)ccn1,Cl[*:1],CHEMBL4450458
c1cc(-c2nnc(SCc3nnc(-c4ccc([*:1])cc4)o3)o2)ccn1,O[*:1],CHEMBL4576864
c1ccc2oc(SCc3cn([*:1])nn3)nc2c1,Clc1ncccc1[*:1],CHEMBL3264704
c1ccc2oc(SCc3cn([*:1])nn3)nc2c1,c1ccc([*:1])cc1,CHEMBL3264689
c1ccc2oc(SCc3cn([*:1])nn3)nc2c1,c1cncc([*:1])c1,CHEMBL3264703
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,Br[*:3].[*:1].[*:2],CHEMBL3264698
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,C[*:3].[*:1].[*:2],CHEMBL3264697
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,Cl[*:3].[*:1].[*:2],CHEMBL3264694
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,F[*:3].[*:1].[*:2],CHEMBL3264699
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,Br[*:1].[*:2].[*:3],CHEMBL3264695
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,CC(C)(C)[*:1].[*:2].[*:3],CHEMBL3264701
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,CCO[*:1].[*:2].[*:3],CHEMBL3264702
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,CC[*:1].[*:2].[*:3],CHEMBL3264690
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,CO[*:1].[*:2].[*:3],CHEMBL3264691
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,Cl[*:1].[*:2].[*:3],CHEMBL3264693
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,F[*:1].[*:2].[*:3],CHEMBL3264696
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,O=[N+]([O-])[*:1].[*:2].[*:3],CHEMBL3264688
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,Cl[*:2].[*:1].[*:3],CHEMBL3264692
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,O=[N+]([O-])[*:2].[*:1].[*:3],CHEMBL3264687
c1ccc2oc(SCc3cn(-c4ccc([*:1])c([*:2])c4[*:3])nn3)nc2c1,C[*:1].C[*:2].[*:3],CHEMBL3264700
c1ccc2sc(OCCOc3ccc([*:1])cc3[*:2])nc2c1,Br[*:1].[*:2],CHEMBL4800449
c1ccc2sc(OCCOc3ccc([*:1])cc3[*:2])nc2c1,Br[*:1].Br[*:2],CHEMBL4793035
c1ccc2sc(OCCOc3ccc([*:1])cc3[*:2])nc2c1,Cl[*:1].Cl[*:2],CHEMBL4757345
C#CCSc1nc2ccccc2c(=O)n1-c1ccc([*:1])cc1,[*:1],CHEMBL4293133
C#CCSc1nc2ccccc2c(=O)n1-c1ccc([*:1])cc1,Br[*:1],CHEMBL4289748
C#CCSc1nc2ccccc2c(=O)n1-c1ccc([*:1])cc1,Cl[*:1],CHEMBL4279063
C#CCSc1nc2ccccc2c(=O)n1-c1ccc([*:1])cc1,CO[*:1],CHEMBL4289328
C(=NNc1nnc(-c2ccncc2)o1)c1ccc([*:1])cc1,Br[*:1],CHEMBL4444316
C(=NNc1nnc(-c2ccncc2)o1)c1ccc([*:1])cc1,Cl[*:1],CHEMBL4450095
C(=NNc1nnc(-c2ccncc2)o1)c1ccc([*:1])cc1,O=[N+]([O-])[*:1],CHEMBL4561572
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C#C[*:1].[*:2].[*:3].[*:4],CHEMBL1288538
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CC[*:1].[*:2].[*:3].[*:4],CHEMBL1288539
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C[*:1].[*:2].[*:3].[*:4],CHEMBL1288468
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,N#C[*:1].[*:2].[*:3].[*:4],CHEMBL1288564
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,FC(F)(F)[*:1].[*:2].[*:3].[*:4],CHEMBL1290563
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cl[*:1].[*:2].[*:3].[*:4],CHEMBL1288467
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,O=C[*:1].[*:2].[*:3].[*:4],CHEMBL1288469
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,FC(F)(F)O[*:1].[*:2].[*:3].[*:4],CHEMBL1290459
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C#C[*:4].Cl[*:1].[*:2].[*:3],CHEMBL1288619
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C#C[*:1].Cl[*:4].[*:2].[*:3],CHEMBL1288640
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C=C[*:4].Cl[*:1].[*:2].[*:3],CHEMBL1288618
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CC[*:1].C[*:4].[*:2].[*:3],CHEMBL1288641
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CC[*:4].FS(F)(F)(F)(F)[*:1].[*:2].[*:3],CHEMBL4068589
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CO[*:4].C[*:1].[*:2].[*:3],CHEMBL1288602
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CO[*:1].Cl[*:4].[*:2].[*:3],CHEMBL1288601
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,CO[*:4].FC(F)(F)O[*:1].[*:2].[*:3],CHEMBL1290683
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C[*:1].C[*:4].[*:2].[*:3],CHEMBL1288600_CHEMBL1288697
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Br[*:1].C[*:4].[*:2].[*:3],CHEMBL3342570
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C[*:4].Cl[*:1].[*:2].[*:3],CHEMBL1288565
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C[*:1].Cl[*:4].[*:2].[*:3],CHEMBL1288566
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cc1ccc([*:4])cc1.Cl[*:1].[*:2].[*:3],CHEMBL1669034
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,C[*:4].FS(F)(F)(F)(F)[*:1].[*:2].[*:3],CHEMBL4095906
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cl[*:1].Nc1ccc([*:4])cc1.[*:2].[*:3],CHEMBL1667876
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cl[*:1].Oc1ccc([*:4])cc1.[*:2].[*:3],CHEMBL1669030
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cl[*:1].Clc1ccc([*:4])cc1.[*:2].[*:3],CHEMBL1669033
O=C(O)C1=Cc2c(c([*:4])c([*:2])c([*:1])c2[*:3])OC1C(F)(F)F,Cl[*:1].c1ccc([*:4])cc1.[*:2].[*:3],CHEMBL1290320
