Core,Subst,chembl_id
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,CC(C)(C)[*:1].[*:2].[*:3].[*:4],CHEMBL2029374
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,CC(C)[*:1].[*:2].[*:3].[*:4],CHEMBL1360431
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,CCCCCC[*:1].[*:2].[*:3].[*:4],CHEMBL2031932
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,CO[*:1].[*:2].[*:3].[*:4],CHEMBL191968
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,I[*:1].[*:2].[*:3].[*:4],CHEMBL1231797
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,FC(F)(F)O[*:1].[*:2].[*:3].[*:4],CHEMBL2031931
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,Cl[*:2].[*:1].[*:3].[*:4],CHEMBL192293
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,FC(F)(F)[*:2].[*:1].[*:3].[*:4],CHEMBL1610486
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,CC(=O)[*:4].FC(F)(F)O[*:1].[*:2].[*:3],CHEMBL1818421
O=C(Nc1ccc([*:1])c([*:2])c1[*:3])NC1CCC([*:4])CC1,F[*:3].F[*:1].F[*:2].[*:4],CHEMBL1818391
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,CC(=O)CO[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933513
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,CC(=O)[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933502
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,CC(C)(C)[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933503
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,CC(C)[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933514
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,CO[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933501
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,C[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1603947
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,N#C[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933504
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2c([*:4])c([*:2])c([*:1])c([*:3])c2[*:5])CC1,Br[*:1].[*:2].[*:3].[*:4].[*:5],CHEMBL1933507
