Core,Subst,chembl_id
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Br[*:1].Br[*:2],CHEMBL3401253
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Br[*:2].C[*:1],CHEMBL3401251
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,C[*:1].C[*:2],CHEMBL3403813
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,C[*:1].F[*:2],CHEMBL3401243
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,C[*:1].O=[N+]([O-])[*:2],CHEMBL3401255
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,C[*:1].FC(F)(F)[*:2],CHEMBL3401259
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Cl[*:1].Cl[*:2],CHEMBL3401248
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Br[*:1].Cl[*:2],CHEMBL3401249
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Br[*:1].F[*:2],CHEMBL3401245
c1cc2c(cc1[*:1])-c1nc3cc([*:2])ccc3n1CCO2,Cl[*:1].F[*:2],CHEMBL3401244
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)N(C)C1CCCN([*:1])C1,CHEMBL4516194
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)N(C)C1CCN([*:1])C1,CHEMBL4580111
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)N(C)C1CCN([*:1])CC1,CHEMBL4583106
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)NC1CCCN([*:1])C1,CHEMBL4555758
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)NC1CCN([*:1])C1,CHEMBL4580546
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CC(=O)NC1CCN([*:1])CC1,CHEMBL4469603
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CN(C1CCCN([*:1])C1)S(C)(=O)=O,CHEMBL4590897
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CN(C1CCN([*:1])C1)S(C)(=O)=O,CHEMBL4532070
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CN(C1CCN([*:1])CC1)S(C)(=O)=O,CHEMBL4472123
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CNC(=O)N(C)C1CCCN([*:1])C1,CHEMBL4452326
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CNC(=O)NC1CCCN([*:1])C1,CHEMBL4440799
c1cc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)c2cc[nH]c2c1,CNC(=O)NC1CCN([*:1])C1,CHEMBL4469156
